,game_title,game_id,steam_appid,short_description,header_image,url
1,Fallout 4,1162,377160.0,"Bethesda Game Studios, the award-winning creators of Fallout 3 and The Elder Scrolls V: Skyrim, welcome you to the world of Fallout 4 – their most ambitious game ever, and the next generation of open-world gaming.",https://steamcdn-a.akamaihd.net/steam/apps/377160/header.jpg?t=1533676954,https://store.steampowered.com/app/377160/Fallout_4/
4,Left 4 Dead 2,1733,550.0,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.",https://steamcdn-a.akamaihd.net/steam/apps/550/header.jpg?t=1540300687,https://store.steampowered.com/app/550/Left_4_Dead_2/
5,HuniePop,1535,339800.0,"HuniePop is a unique sim experience for PC, Mac and Linux. It's a gameplay first approach that's part dating sim, part puzzle game, with light RPG elements, a visual novel style of presentation, an abrasive western writing style and plenty of &quot;plot&quot;.",https://steamcdn-a.akamaihd.net/steam/apps/339800/header.jpg?t=1482628849,https://store.steampowered.com/app/339800/HuniePop/
6,Path of Exile,2197,238960.0,"You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Created by hardcore gamers, Path of Exile is an online Action RPG set in a dark fantasy world.",https://steamcdn-a.akamaihd.net/steam/apps/238960/header.jpg?t=1552265500,https://store.steampowered.com/app/238960/Path_of_Exile/
7,Poly Bridge,2251,367450.0,Unleash your engineering creativity with an engaging and fresh bridge-building simulator with all the bells and whistles. Enjoy hours of physics-based puzzle solving in the Campaign and then jump in the Sandbox to create your own bridge designs and puzzles!,https://steamcdn-a.akamaihd.net/steam/apps/367450/header.jpg?t=1537073078,https://store.steampowered.com/app/367450/Poly_Bridge/
8,Left 4 Dead,1732,500.0,"From Valve (the creators of Counter-Strike, Half-Life and more) comes Left 4 Dead, a co-op action horror game for the PC and Xbox 360 that casts up to four players in an epic struggle for survival against swarming zombie hordes and terrifying mutant monsters.",https://steamcdn-a.akamaihd.net/steam/apps/500/header.jpg?t=1517005754,https://store.steampowered.com/app/500/Left_4_Dead/
9,Team Fortress 2,2994,440.0,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!",https://steamcdn-a.akamaihd.net/steam/apps/440/header.jpg?t=1539304875,https://store.steampowered.com/app/440/Team_Fortress_2/
10,Tomb Raider,3247,203160.0,Tomb Raider explores the intense origin story of Lara Croft and her ascent from a young woman to a hardened survivor.,https://steamcdn-a.akamaihd.net/steam/apps/203160/header.jpg?t=1556055956,https://store.steampowered.com/app/203160/Tomb_Raider/
11,The Banner Saga,3024,237990.0,Live through an epic role-playing Viking saga where your strategic choices directly affect your personal journey. Make allies as you travel with your caravan across this stunning yet harsh landscape. Carefully choose those who will help fight a new threat that jeopardizes an entire civilization.,https://steamcdn-a.akamaihd.net/steam/apps/237990/header.jpg?t=1531937244,https://store.steampowered.com/app/237990/The_Banner_Saga/
13,BioShock Infinite,348,8870.0,"Indebted to the wrong people, with his life on the line, veteran of the U.S. Cavalry and now hired gun, Booker DeWitt has only one opportunity to wipe his slate clean. He must rescue Elizabeth, a mysterious girl imprisoned since childhood and locked up in the flying city of Columbia.",https://steamcdn-a.akamaihd.net/steam/apps/8870/header.jpg?t=1545232935,https://store.steampowered.com/app/8870/BioShock_Infinite/
